timestamp,system_frame_index,slot_index,rnti,rnti_type,dci_format,k,mapping,time_start,time_length,frequency_start,frequency_length,nof_dmrs_cdm_groups,beta_dmrs,nof_layers,n_scid,tb_scaling_field,modulation,mcs_index,transport_block_size,code_rate,redundancy_version,new_data_indicator,nof_re,nof_bits,mcs_table,xoverhead,harq_id,downlink_assignment_index,tpc,pucch_resource,harq_feedback,bwp
1727547983.550841,26,7,19994,C-RNTI,0_1,2,A,0,14,5,18,1,1.000000,1,0,0,QPSK,1,1064,0.188477,0,1,2808,5616,256qam,0,0,3,1,0,0,1
1727547983.568087,28,5,19994,C-RNTI,0_1,2,A,0,14,48,18,1,1.000000,1,0,0,QPSK,1,1064,0.188477,0,1,2808,5616,256qam,0,0,3,1,0,0,1
1727547983.579878,29,7,19994,C-RNTI,1_1,0,A,3,11,275,0,1,1.000000,2,0,0,BPSK,0,0,0.000000,0,0,0,0,256qam,0,1,0,1,0,0,1
1727547983.579879,29,7,19994,C-RNTI,0_1,2,A,0,14,20,20,1,1.000000,1,0,0,QPSK,1,1192,0.188477,0,1,3120,6240,256qam,0,1,3,1,0,0,1
1727547983.629625,34,6,19994,C-RNTI,1_1,0,A,3,11,48,16,1,1.000000,2,0,0,QPSK,0,928,0.117188,0,0,3840,7680,256qam,0,4,0,1,0,0,1
1727547983.828320,54,5,19994,C-RNTI,0_1,2,A,0,14,32,5,1,1.000000,1,0,0,QPSK,0,176,0.117188,0,1,780,1560,256qam,0,6,3,1,0,0,1
1727547983.835179,55,1,19994,C-RNTI,0_1,2,A,0,14,3,40,1,1.000000,1,0,0,QPSK,0,1480,0.117188,0,1,6240,12480,256qam,0,11,3,1,0,0,1
1727547983.842830,56,0,19994,C-RNTI,0_1,2,A,0,14,17,6,1,1.000000,1,0,0,BPSK,29,0,0.000000,2,1,0,0,256qam,0,12,3,1,0,0,1
1727547983.849707,56,7,19994,C-RNTI,0_1,2,A,0,14,14,3,1,1.000000,1,0,0,QPSK,4,552,0.587891,0,1,468,936,256qam,0,15,3,1,0,0,1
1727547983.857209,57,5,19994,C-RNTI,0_1,2,A,0,14,5,6,1,1.000000,1,0,0,QPSK,3,848,0.438477,0,0,936,1872,256qam,0,2,3,1,0,0,1
